word,val1,val2,val3
룸메,0.6177+sleep_sensitive,0.5417+sleep_habit,0.5299+college_of
쪽지,0.6121+m_sleep,0.5851+college_of,0.5494+weekday_stay
기숙사,0.6069+dorm_select,,
댓글,,,
사람,0.5574+sex,0.5363+sleep_sensitive,0.5245+personality
정도,0.6043+m_sleep,0.5904+weekday_stay,0.5403+age
삭제,0.707+clean_period,,
구해,0.7283+m_sleep,0.6019+sleep_habit,0.5536+sleep_sensitive
신청,0.5037+m_sleep,,
생활,0.6183+dorm_select,0.5373+age,0.5222+weekday_stay
진짜,,,
서로,,,
그냥,0.6094+m_sleep,0.5928+sleep_habit,0.586+sleep_sensitive
긱사,0.6276+sleep_habit,0.6255+m_sleep,0.6108+sleep_sensitive
자주,0.7258+weekday_stay,,
구합,0.5467+college_of,0.5186+m_sleep,
생각,0.5087+m_sleep,,
혹시,0.6836+m_sleep,0.5902+sleep_sensitive,0.5241+sleep_habit
연락,,,
학기,0.535+m_sleep,,
취침,1.0+m_sleep,0.6647+sleep_habit,
벌레,0.6143+sleep_habit,,
상관,0.6815+m_sleep,0.5643+dorm_select,0.5484+college_of
보통,0.6992+weekday_stay,0.5064+sleep_sensitive,
가끔,0.7359+sleep_habit,0.675+m_sleep,0.6+college_of
기간,0.6575+weekday_stay,0.5542+age,
룸메이트,0.5096+sleep_sensitive,0.5054+dorm_select,
거의,0.5349+weekday_stay,,
자기,0.5553+sleep_sensitive,0.5493+m_sleep,0.5327+personality
바로,0.5263+weekday_stay,0.5111+m_sleep,0.5025+age
혼자,0.5286+college_of,0.5178+weekday_stay,
한번,0.6538+weekday_stay,,
편입,0.7058+m_sleep,0.5849+college_of,0.5561+weekday_stay
자고,0.6624+m_sleep,0.5819+sleep_habit,0.5201+age
사과,0.6437+college_of,,
지금,,,
다른,,,
때문,,,
수도,0.6018+sleep_sensitive,0.6001+m_sleep,0.5976+alchol
크게,0.5031+m_sleep,,
하나,0.5639+weekday_stay,0.5546+college_of,
개월,0.5466+weekday_stay,,
조금,,,
기본,,,
사이,0.5614+weekday_stay,0.5606+m_sleep,0.5359+college_of
사용,0.5041+m_sleep,,
본인,0.5247+sleep_sensitive,,
주로,0.5165+weekday_stay,,
보고,,,
이면,,,
계속,0.5344+m_sleep,,
과대,0.8104+college_of,
소개,,,
경우,,,
관심,0.504+m_sleep,,
수업,,,
거나,0.6287+sleep_habit,0.617+sleep_sensitive,0.599+college_of
정해,0.6603+m_sleep,0.6501+sleep_sensitive,0.5919+weekday_stay
최대한,,,
하우스,0.5892+dorm_select,,
환영,0.5129+sleep_sensitive,,
조건,,,
부분,0.5265+college_of,,
학교,,,
랜덤,0.5857+sleep_habit,0.5746+m_sleep,0.5159+weekday_stay
처음,,,
별로,0.607+weekday_stay,0.5798+sleep_sensitive,0.5784+m_sleep
경험,,,
해도,0.5963+sleep_sensitive,0.5025+m_sleep,
고등학교,,,
사항,0.6195+m_sleep,0.5117+weekday_stay,
확인,0.5002+m_sleep,,
사실,,,
이번,,,
다음,,,
동안,0.5902+weekday_stay,0.5308+m_sleep,0.5278+age
가능,0.521+m_sleep,,
그때,,,
참고,,,
대부분,,,
주시,0.7186+sleep_sensitive,0.6836+m_sleep,0.5969+college_of
절대,0.5826+weekday_stay,,
드림,0.7523+m_sleep,0.7113+sleep_habit,0.6005+college_of
배정,0.8279+m_sleep,0.5837+weekday_stay,0.5585+sleep_habit
노력,0.5652+m_sleep,,
이제,,,
거주,0.6345+weekend_stay,0.6141+weekday_stay,
방학,0.508+m_sleep,,
유지,0.5758+m_sleep,,
오늘,,,
자취,0.7968+m_sleep,0.5988+sleep_habit,0.5751+m_how_eat
행정,,,
가지,0.6957+college_of,0.5821+m_sleep,0.5396+sleep_habit
원래,,,
아뇨,0.6427+sleep_sensitive,0.6196+m_sleep,0.6045+sleep_habit
달라,0.5866+sleep_habit,0.5845+m_sleep,0.5511+sleep_sensitive
그거,0.5831+m_sleep,0.5562+age,0.5523+sleep_sensitive
내일,0.6345+weekend_stay,0.6141+weekday_stay,
하루,0.7129+weekday_stay,0.5793+weekend_stay,
상대,0.5595+m_sleep,0.5009+college_of,
추가,,,
월세,0.6158+sleep_sensitive,0.5165+weekday_stay,0.5037+college_of
대신,0.5213+m_sleep,,
드릴,0.6161+sleep_habit,0.5101+m_sleep,
두운,0.6469+m_sleep,0.618+sleep_habit,0.5201+college_of
우리,,,
다시,,,
안함,0.7051+m_sleep,0.5648+sleep_habit,0.5291+sleep_sensitive
어디,,,
정말,,,
에타,0.5146+college_of,,
아예,0.6323+sleep_sensitive,0.5064+m_sleep,0.505+age
자리,0.6036+m_sleep,0.5374+dorm_select,0.5228+m_how_eat
구함,0.8114+m_sleep,0.681+sleep_habit,0.6258+college_of
일단,0.8241+weekday_stay,0.649+college_of,0.6116+m_sleep
아트,,,
느낌,0.5492+m_sleep,,
약간,,,
게이,0.691+sex,0.5485+m_sleep,
끼리,0.6491+sleep_habit,0.625+college_of,0.5787+m_sleep
종종,0.7149+weekday_stay,,
공유,,,
먼저,,,
여기,,,
안구,0.6818+m_sleep,0.6513+sleep_habit,0.6489+sleep_sensitive
가면,0.5265+m_sleep,,
안해,0.563+sleep_sensitive,0.5593+m_sleep,
무슨,,,
이상,0.5306+age,0.5283+weekday_stay,0.5101+sleep_sensitive
아마,,,
상대방,0.524+m_sleep,,
언제,0.5734+weekday_stay,,
신분,0.524+sex,0.5047+m_sleep,
작년,0.6875+age,,
보드,0.5378+sleep_habit,0.5169+m_sleep,
존나,,,
이외,,,
매우,,,
완전,0.522+weekday_stay,,
각자,0.6079+weekday_stay,0.5921+college_of,0.5304+sleep_sensitive
이요,0.5221+sleep_sensitive,,
더위,0.5766+m_sleep,0.5583+sleep_habit,0.5509+college_of
에어컨,0.5437+wake_up,,
건가,0.6699+m_sleep,0.6095+sleep_habit,0.6033+sleep_sensitive
입사,0.7221+m_sleep,0.6125+college_of,0.6049+sleep_sensitive
약속,0.5634+m_sleep,,
오히려,0.533+sleep_sensitive,0.5121+m_sleep,
쉐어,0.7124+m_sleep,0.6996+sleep_habit,0.6043+college_of
계약,,,
군대,,,
일정,0.7561+weekday_stay,0.5281+weekend_stay,
무조건,0.6008+m_sleep,,
분도,0.6694+alchol,0.6475+sleep_habit,0.6331+m_sleep
준비,,,
하자,0.6436+sleep_sensitive,0.6152+m_sleep,0.5612+sleep_habit
가격,,,
방법,,,
얼굴,0.5044+m_sleep,,
상황,0.5266+m_sleep,,
제외,,,
사진,,,
제발,0.7912+m_sleep,0.6141+sleep_habit,0.5853+college_of
기타,,,
나중,0.7006+m_sleep,0.6674+weekday_stay,0.6574+sleep_sensitive
보시,0.6202+sleep_habit,0.5578+m_sleep,
성적,0.722+sex,0.6533+m_sleep,0.525+personality
수준,0.5082+weekday_stay,,
정보,,,
뭔가,0.5307+m_sleep,0.5064+age,
아무,,,
누구,,,
추천,,,
만약,0.5055+sleep_sensitive,0.5046+m_sleep,
보기,,,
번은,0.6717+weekday_stay,0.5347+age,0.5282+college_of
자서,0.7593+m_sleep,0.652+sleep_habit,0.5923+sleep_sensitive
나머지,,,
직접,,,
이름,,,
순이,0.7178+m_sleep,0.6149+sleep_habit,0.612+weekday_stay
반수,0.622+weekday_stay,0.5193+college_of,
거리,0.5109+m_sleep,0.5007+dorm_select,
등등,0.5313+m_sleep,0.5077+college_of,0.5009+sleep_habit
의견,0.5132+m_sleep,,
제출,0.6165+how_eat_in,,
코로나,,,
동생,,,
말씀,0.5898+sleep_habit,0.5847+m_sleep,0.5788+sleep_sensitive
보증금,,,
모두,0.5344+weekday_stay,,
얼마나,0.5263+weekday_stay,,
조율,0.6941+m_sleep,0.6202+weekday_stay,0.5375+college_of
제때,0.5958+sleep_sensitive,0.5747+weekday_stay,0.5058+m_sleep
대한,0.6198+m_sleep,0.5221+sleep_sensitive,0.5068+college_of
동기,,,
영역,,,
얼마,0.5103+weekday_stay,,
눈치,0.676+m_sleep,0.6176+sleep_habit,0.5345+college_of
결정,0.5213+m_sleep,,
굳이,0.7171+m_sleep,0.7124+sleep_habit,0.6434+college_of
기숙,0.6699+m_sleep,0.6069+dorm_select,0.575+sleep_sensitive
대해,0.534+m_sleep,,
해결,0.5352+m_sleep,,
인간,0.5441+sex,0.5173+personality,
이후,,,
호실,0.6373+dorm_select,0.5541+m_how_eat,0.5524+m_sleep
마지막,,,
새끼,0.7178+sleep_habit,0.6607+m_sleep,0.5881+college_of
여러분,0.538+sleep_sensitive,,
쿠폰,0.6234+sleep_habit,0.5288+college_of,0.5237+m_sleep
흡연,1.0+smoke,,
청소,1.0+clean_period,,
학번,0.5605+weekday_stay,0.5479+m_sleep,
레이크,0.5087+sleep_habit,,
시간,0.5947+weekday_stay,,
남자,0.6362+sex,,
여자,0.7089+sex,,
아침,,,
화장실,0.5392+shower_timezone,0.5349+clean_period,
편이,0.7082+m_sleep,0.6051+weekday_stay,0.5608+college_of
잠버릇,1.0+sleep_habit,,
알람,0.6048+m_sleep,0.582+sleep_habit,0.5329+sleep_sensitive
소리,0.5701+m_sleep,0.5308+sleep_habit,
공부,,,
잠귀,0.8406+sleep_habit,0.6986+m_sleep,0.5381+college_of
코골,0.557+sleep_habit,,
샤워,1.0+shower_timezone,,
기상,1.0+wake_up,,
본가,0.5044+sleep_sensitive,,
친구,,,
나이,1.0+age,
새벽,0.7425+sleep_habit,0.6449+m_sleep,0.5475+college_of
저녁,0.5839+m_how_eat,0.5009+weekend_stay,
음식,0.8818+m_how_eat,0.5301+college_of,0.516+alchol
시험,,,
냄새,,,
예정,0.5434+m_sleep,,
주말,1.0+weekend_stay,
신경,0.6157+m_sleep,,
게임,,,
선호,0.5297+m_sleep,,
이어폰,,,
얘기,0.6761+m_sleep,0.6381+sleep_habit,0.5254+college_of
성격,1.0+personality,,
배달,1.0+how_eat_in,,
정리,0.8488+clean_period,0.601+m_sleep,0.5351+weekday_stay
개인,0.5384+personality,,
동갑,0.6324+sleep_habit,0.6284+m_sleep,0.6077+college_of
패턴,,,
가요,0.6295+sleep_sensitive,0.5906+m_sleep,0.5755+age
취미,,,
담배,0.9605+smoke,
공간,0.5162+dorm_select,,
학년,0.5823+age,,
운동 ,0.522+m_sleep,,
통화,0.5349+m_sleep,,
스탠드,0.6903+sleep_habit,0.6731+m_sleep,0.5638+college_of
평소,0.8334+weekday_stay,0.6103+m_sleep,0.6022+college_of
영상,,,
학과,,,
규칙,,,
문과,0.5739+college_of,,
머리카락,,,
시간표,0.5711+weekday_stay,,
전화,,,
쓰레기,0.7794+clean_period,,
노래,0.5125+alchol,,
희망사항,,,
이갈이,0.6191+sleep_habit,0.5567+sleep_sensitive,
매일,0.7835+weekday_stay,0.6109+weekend_stay,
잠꼬대,0.8286+sleep_habit,,
바닥,,,
환기,0.5801+smoke,0.5499+shower_timezone,0.5471+sleep_habit
물건,,,
도서관,,,
침대,0.5363+m_sleep,0.5083+sleep_habit,
주사 ,0.6432+m_sleep,0.6417+sleep_sensitive,0.5665+college_of
머리,0.5137+m_sleep,0.5094+sleep_habit,
배려,0.8033+m_sleep,0.6897+sleep_habit,0.6414+how_eat_in
음악,,,
융기원,0.5841+m_sleep,0.5507+college_of,0.5154+sleep_habit
미리,0.5158+m_sleep,,
이해,0.5077+m_sleep,,
문제,0.5285+m_sleep,,
일주일,0.8221+weekend_stay,0.692+weekday_stay,
공대,0.7307+m_sleep,0.6158+college_of,0.5983+sleep_habit
스트레스,0.5548+m_sleep,,
외박,0.6666+m_sleep,0.5729+sleep_habit,0.528+college_of
축구,,,
책상,0.5349+m_how_eat,,
외출,0.5398+m_sleep,,
피해,0.6056+m_sleep,,
알바,,,
오전,0.5138+m_how_eat,,
번갈아,0.6759+sleep_habit,0.5723+m_sleep,
야구,,,
대학,,,
일찍,,,
공과대학,,,
냉장고,0.5504+sleep_habit,0.5434+m_how_eat,0.5187+college_of
코고,0.6353+sleep_habit,0.5579+m_sleep,
걱정,0.621+m_sleep,,
관리,,,
이야기,,,
소속,,,
애니,,,
복도,0.6831+m_sleep,0.6661+sleep_habit,0.6145+college_of
헬스,0.5268+m_sleep,,
공용,0.6564+m_sleep,0.5926+weekday_stay,0.5343+college_of
존중,0.5378+m_sleep,,
청결,0.9518+clean_period,,
대화,,,
인스타,0.7129+m_sleep,0.6398+sleep_sensitive,0.6329+college_of
식사,1.0+m_how_eat,,
일어나서,0.5313+m_sleep,,
알정,0.6967+m_sleep,0.6087+sleep_sensitive,0.5652+weekday_stay
평일,1.0+weekday_stay,
씹덕,0.6276+sleep_habit,0.6255+m_sleep,0.6108+sleep_sensitive
경영,,,
수면,0.6257+m_sleep,0.5586+sleep_habit,0.5045+weekday_stay
긱식,0.6276+sleep_habit,0.6255+m_sleep,0.6108+sleep_sensitive
과제,0.7579+m_sleep,0.707+college_of,0.6491+sleep_sensitive
유튜브,,,
주정,0.7978+m_sleep,0.6195+weekday_stay,0.5827+sleep_sensitive
시청,,,
사범대,0.6194+m_sleep,0.5774+sleep_sensitive,0.5762+college_of
매너,0.6454+sleep_sensitive,0.587+sleep_habit,0.5523+college_of
건대,0.7209+sleep_habit,0.6861+m_sleep,0.6383+college_of
에어팟,0.5455+wake_up,,
상생,0.7516+m_sleep,0.629+college_of,0.6281+age
드라이기,0.5032+m_sleep,,
양해,0.692+m_sleep,0.6619+sleep_sensitive,0.6023+sleep_habit
구역,0.5486+dorm_select,,
상의,0.6736+m_sleep,0.6052+college_of,0.5587+weekday_stay
민폐,0.696+m_sleep,0.6903+sleep_habit,0.5819+sleep_sensitive
소음,0.5064+m_sleep,,
새내기,0.7135+sleep_habit,0.6889+m_sleep,0.5667+college_of
자라,0.6396+m_sleep,0.628+sleep_habit,0.5977+sleep_sensitive
항상,0.665+weekday_stay,,
교시,0.6948+m_sleep,0.5768+college_of,0.5696+sleep_habit
산책,,,
학생,,,
주변,0.602+dorm_select,0.5737+m_sleep,
활동,,,
내내,0.5636+m_sleep,,
방구,0.7567+sleep_habit,0.7208+m_sleep,0.6152+dorm_select
음주,1.0+alchol,,
술,1.0+alchol,,