email,sex,age,dorm_select,college_of,personality,weekend_stay,weekday_stay,smoke,alchol,how_eat,how_eat_in,wake_up,sleep,sleep_sensitive,sleep_habit,clean_period,shower_timezone
1,2,22,1,0,2,0,2,2,3,2,1,2,2,2,3,3,2
2,1,23,1,5,1,2,1,2,3,2,1,2,2,1,3,3,1
3,2,24,1,0,2,1,1,2,3,2,1,2,2,2,3,2,2
4,2,23,1,5,2,2,1,2,3,2,1,2,3,2,3,3,2
5,1,24,1,4,0,0,2,2,3,2,2,2,2,2,1,3,1
6,2,23,1,4,2,2,2,2,3,2,1,2,3,2,3,2,0
7,2,22,1,0,2,2,1,2,3,2,1,2,3,2,3,3,0
8,1,25,1,0,2,0,2,2,3,2,0,1,3,2,3,2,1
9,1,24,1,0,2,2,1,2,2,2,0,2,2,0,0,0,0
10,2,22,1,0,2,1,2,2,3,2,1,1,2,2,3,2,2
11,2,21,1,5,2,2,2,2,3,2,1,2,2,2,3,2,2
12,2,21,1,1,1,0,1,2,2,2,1,0,3,1,3,1,0
13,2,22,1,0,2,1,2,2,3,2,1,2,3,2,3,2,1
14,1,22,1,0,2,2,2,1,3,1,1,1,2,2,3,2,0
15,1,22,1,0,2,0,1,0,3,1,1,2,2,1,3,2,1
16,1,24,1,6,1,1,2,2,3,2,2,2,2,2,3,2,1
17,1,21,1,4,1,2,2,2,2,1,1,2,2,2,1,2,1
18,2,22,1,0,1,1,2,2,2,1,1,2,2,2,2,2,0
19,1,21,1,12,2,0,1,2,3,1,1,0,2,1,2,2,0
20,2,23,1,0,2,2,1,2,3,2,2,1,2,2,3,2,1
21,1,22,1,0,1,2,1,2,2,0,0,2,2,2,2,2,0
22,2,24,1,13,2,2,2,2,3,1,1,2,3,2,3,2,2
23,2,22,1,1,1,1,2,2,3,0,1,2,2,1,2,2,0
24,1,24,1,0,0,0,2,2,3,2,2,2,2,1,2,2,1
25,2,23,1,0,0,2,2,2,3,1,1,1,2,1,0,2,2
26,1,24,1,4,1,0,2,2,3,0,1,2,2,2,3,2,1
27,2,24,1,0,2,0,2,2,3,2,1,1,2,2,1,2,2
28,2,21,2,0,2,0,2,2,3,1,1,2,3,1,2,2,0
29,1,22,1,0,1,0,2,2,3,1,1,2,2,1,2,2,0
30,2,24,2,0,1,0,0,2,2,1,1,1,1,2,2,2,1
31,2,22,1,0,1,0,0,2,0,1,1,2,2,1,3,2,2
32,2,25,2,0,0,0,0,2,3,1,0,1,2,1,2,2,0
33,2,23,1,0,0,1,2,2,3,1,0,2,2,1,2,2,2
34,2,22,1,0,1,0,2,2,2,1,1,0,3,2,3,2,2
35,1,21,1,4,2,0,2,2,3,0,0,2,2,1,2,2,1
36,2,23,1,0,0,0,0,2,3,1,1,2,0,1,2,2,1
37,1,25,1,4,1,0,0,2,3,1,1,1,1,0,3,2,1
38,2,22,1,0,2,0,0,2,3,0,1,0,2,1,1,3,1
39,1,21,1,0,2,0,2,2,3,1,1,0,2,2,1,2,1
40,1,22,1,0,1,0,0,2,2,1,1,2,2,1,2,0,0
41,2,21,1,0,2,0,0,2,2,1,1,2,3,1,3,3,0
42,1,24,1,0,1,0,2,0,0,0,0,1,1,2,2,2,1
43,2,0,1,13,0,1,2,2,3,2,0,1,2,2,2,3,0
44,1,21,1,0,1,1,2,2,3,0,0,0,0,2,2,2,0
45,2,24,1,0,0,2,2,2,3,1,1,1,2,2,2,2,0
46,2,21,1,1,2,2,2,2,3,1,0,0,0,2,3,2,0
47,2,0,1,0,0,2,2,0,0,2,0,0,2,2,2,1,0
48,2,0,1,0,2,1,2,2,3,2,0,1,2,2,2,0,0
49,2,22,1,13,2,0,2,2,3,1,1,1,2,2,3,2,1
50,1,20,2,0,1,3,2,2,3,1,1,2,2,1,1,2,2
51,1,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1,25,2,5,0,1,0,2,0,0,0,0,0,0,3,0,0
53,1,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,22,1,5,2,0,0,2,0,0,0,0,0,0,3,0,0
55,1,21,2,0,0,0,0,0,0,0,0,1,2,0,0,1,0
56,2,23,2,1,2,0,0,2,0,1,1,2,2,0,3,2,0
57,2,22,2,8,0,0,0,2,0,0,1,1,2,2,0,2,0
58,2,22,2,4,0,0,0,2,0,0,0,1,2,0,3,2,2
59,2,21,2,1,0,2,0,0,0,0,0,2,0,0,2,2,1
60,2,22,2,0,2,0,0,2,0,1,1,1,2,2,0,2,0
61,2,26,2,6,0,2,0,2,3,1,0,0,0,0,3,0,0
62,1,22,1,0,2,2,0,0,0,0,0,0,0,0,3,2,0
63,2,24,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0
64,2,21,2,0,0,1,0,2,0,1,1,0,2,0,0,3,2
65,2,22,2,6,2,0,2,0,3,0,1,1,2,0,0,3,2
66,1,23,2,4,0,0,0,2,3,3,0,0,0,0,3,0,0
67,1,21,2,6,0,0,0,2,0,0,0,0,0,0,3,0,0
68,2,22,1,5,1,1,0,0,0,3,0,1,2,2,3,3,0
69,2,22,1,0,0,0,0,2,0,0,1,0,0,2,0,0,2
70,2,23,2,12,1,2,0,2,0,0,2,2,3,2,0,1,2
71,2,24,2,0,2,2,2,0,0,0,0,0,2,1,0,3,0
72,2,23,2,8,0,0,0,2,0,0,0,1,2,1,3,1,0
73,2,21,2,4,0,0,2,0,0,0,1,0,3,2,3,2,0
74,2,22,2,4,0,0,0,2,0,1,1,2,3,0,3,3,0
75,2,21,2,5,1,0,0,2,2,0,1,2,2,2,0,3,0
76,2,23,2,0,0,0,1,0,0,0,0,0,0,2,3,0,0
77,2,21,2,8,0,2,0,2,0,0,0,1,2,1,3,1,1
78,2,21,2,8,0,2,0,2,3,2,2,0,0,2,0,1,0
79,2,22,2,8,2,1,2,2,3,1,1,2,2,1,3,3,0
80,2,22,2,5,1,0,0,0,2,1,1,3,3,2,3,3,0
81,2,22,0,0,1,2,0,0,0,0,2,3,3,2,2,1,2
82,2,22,2,5,1,0,0,2,3,1,1,3,3,0,3,1,0
83,1,23,1,6,1,2,0,2,0,0,0,2,0,0,3,2,0
84,1,22,1,4,1,0,0,2,3,0,0,0,2,0,1,0,0
85,2,25,2,5,0,0,0,0,0,0,0,1,2,2,0,3,0
86,2,25,2,0,2,0,2,0,0,1,1,1,2,0,1,3,2
87,1,21,1,5,1,0,0,2,0,1,1,0,0,2,1,3,0
88,2,21,2,7,0,1,0,2,0,0,0,3,2,0,3,0,0
89,2,22,2,1,2,2,1,2,0,0,1,2,2,2,3,2,2
90,2,21,2,0,1,2,0,0,0,0,1,2,3,2,3,3,2
91,1,21,1,6,0,0,0,2,2,0,0,1,2,0,2,2,0
92,2,24,2,0,2,0,2,0,0,0,0,0,2,0,3,0,0
93,2,22,2,4,1,2,0,2,0,0,1,2,2,2,3,3,1
94,2,23,2,0,2,0,2,2,1,0,1,1,2,2,2,2,2
95,2,20,2,0,1,0,1,2,0,0,0,1,2,2,3,3,1
96,2,21,2,9,2,2,2,2,3,0,1,2,3,1,0,3,0
97,2,24,2,6,2,0,0,0,0,1,1,1,2,2,2,3,2
98,2,23,2,6,1,1,1,2,3,3,1,1,2,2,2,3,2
99,2,24,2,0,0,0,0,2,0,1,1,1,2,2,0,2,0
100,1,22,2,4,2,0,0,2,0,0,0,2,2,1,3,3,0
